,AID_ID_Number,District,Road_EN,Road_TC,Road_SC,Direction,Rotation,GeometryEasting,GeometryNorthing
193,AID05122,Sham Shui Po,Kwai Chung Road near Lai Chi Kok Fire Station- Northbound ,葵涌道近荔枝角消防局 - 北行 ,葵涌道近荔枝角消防局 - 北行 ,North West,280,832892,821921
194,AID05123,Sham Shui Po,Kwai Chung Road near Delia Memorial School (Glee Path) - Northbound ,葵涌道近地利亞修女紀念學校(吉利徑) - 北行 ,葵涌道近地利亚修女纪念学校(吉利径) - 北行 ,West,275,832471,822002
195,AID05124,Sham Shui Po,Kwai Chung Road near Kwai Chung Interchange - Northbound ,葵涌道近葵涌交匯處 - 北行 ,葵涌道近葵涌交汇处 - 北行 ,West,275,831931,822103
218,AID05212,Sham Shui Po,Kwai Chung Road near Mei Foo MTR Station - Southbound ,葵涌道近港鐵美孚站 - 南行 ,葵涌道近港铁美孚站 - 南行 ,East,95,831978,822095
219,AID05213,Sham Shui Po,Kwai Chung Road near Delia Memorial School (Glee Path) - Southbound ,葵涌道近地利亞修女紀念學校(吉利徑) - 南行 ,葵涌道近地利亚修女纪念学校(吉利径) - 南行 ,East,95,832414,822013
220,AID05214,Sham Shui Po,Kwai Chung Road near Lai Chi Kok Fire Station - Southbound ,葵涌道近荔枝角消防局 - 南行 ,葵涌道近荔枝角消防局 - 南行 ,South East,90,832799,821939
221,AID05215,Sham Shui Po,Lai Chi Kok Road near Novel Industrial Building - Southbound ,荔枝角道近永新工業大廈 - 南行 ,荔枝角道近永新工业大厦 - 南行 ,North East,70,833232,821797
222,AID05216,Sham Shui Po,West Kowloon Corridor near The Pacifica -Southbound ,西九龍走廊近宇晴軒 - 南行,西九龙走廊近宇晴轩 - 南行,South East,135,833513,821819
223,AID05217,Sham Shui Po,West Kowloon Corridor near West Kowloon Law Courts Building - Southbound ,西九龍走廊近西九龍法院大樓 - 南行 ,西九龙走廊近西九龙法院大楼 - 南行 ,South East,135,833857,821397
224,AID05218,Sham Shui Po,West Kowloon Corridor near Tung Chau Street Park - Southbound ,西九龍走廊近通州街公園 - 南行 ,西九龙走廊近通州街公园 - 南行 ,South East,135,834412,820920
225,AID05219,Yau Tsim Mong,West Kowloon Corridor near Sycamore Playground -Southbound ,西九龍走廊近詩歌舞遊樂場 -南行,西九龙走廊近诗歌舞游乐场 -南行,South East,135,834813,820608
226,AID05220,Yau Tsim Mong,West Kowloon Corridor near Fuk Keung Indistrial Building - Southbound ,西九龍走廊近福強工業大廈 - 南行 ,西九龙走廊近福强工业大厦 - 南行 ,South,175,835092,820342
227,AID05221,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (1) ,西九龍走廊近櫻桃街公園 - 南行 (1) ,西九龙走廊近樱桃街公园 - 南行 (1) ,South,180,835168,819951
228,AID05222,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (2) ,西九龍走廊近櫻桃街公園 - 南行 (2) ,西九龙走廊近樱桃街公园 - 南行 (2) ,South,180,835224,819543
229,AID05223,Yau Tsim Mong,West Kowloon Corridor near Prosperous Garden - Southbound ,西九龍走廊近駿發花園 - 南行 ,西九龙走廊近骏发花园 - 南行 ,South,175,835302,819006
230,AID05224,Yau Tsim Mong,Gascoigne Road near Methodist College - Eastbound ,加士居道近循道中學 - 東行 ,加士居道近循道中学 - 东行 ,South East,135,835729,818891
231,AID05225,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Eastbound  ,加士居道近拔萃女書院 - 東行 ,加士居道近拔萃女书院 - 东行 ,South East,120,836014,818683
232,AID05226,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Eastbound ,加士居道近槍會山軍營 - 東行 ,加士居道近枪会山军营-东行,South East,120,836367,818560
233,AID05227,Kowloon City,Chatham Road North near MTR Ho Man Tin Station - Eastbound ,漆咸道北近港鐵何文田站 - 東行 ,漆咸道北近港铁何文田站 - 东行 ,North East,45,836860,818824
258,AID07121,Kowloon City,Lung Cheung Road near RTHK - Westbound ,龍翔道近香港電臺 - 西行 ,龙翔道近香港电台 - 西行 ,West,280,837025,822677
259,AID07122,Kowloon City,Lung Cheung Road near Lung Cheung Road Park - Westbound ,龍翔道近龍翔道公園 - 西行 ,龙翔道近龙翔道公园 - 西行 ,West,270,836687,822779
260,AID07123,Kowloon City,Lung Cheung Road near Elizabethan Court - Westbound ,龍翔道近碧華閣 - 西行 ,龙翔道近碧华阁 - 西行 ,West,260,836292,822848
261,AID07124,Sham Shui Po,Lung Cheung Road Lookout - Westbound ,龍翔道近觀景台 - 西行 ,龙翔道近观景台 - 西行 ,West,270,835734,822685
262,AID07125,Sham Shui Po,Lung Cheung Road Beacon Heights - Westbound (1) ,龍翔道近畢架山花園 - 西行 (1) ,龙翔道近毕架山花园 - 西行 (1) ,South West,220,835514,822509
263,AID07126,Sham Shui Po,Lung Cheung Road Beacon Heights - Westbound (2) ,龍翔道近畢架山花園 - 西行 (2) ,龙翔道近毕架山花园 - 西行 (2) ,West,270,835016,822538
264,AID07127,Sham Shui Po,Lung Cheung Road Tai Woh Ping - Westbound ,龍翔道近大窩坪 - 西行 ,龙翔道近大窝坪 - 西行 ,West,250,834792,822460
265,AID07128,Sham Shui Po,Lung Cheung Road near Ching Cheung Road - Westbound ,龍翔道近呈祥道 - 西行 ,龙翔道近呈祥道 - 西行 ,North West,300,834455,822602
266,AID07129,Sham Shui Po,Lung Cheung Road near Monte Carlton - Westbound ,龍翔道近爾登豪庭 - 西行 ,龙翔道近尔登豪庭 - 西行 ,West,260,833961,822632
267,AID07130,Sham Shui Po,Ching Cheung Road near Caritas Medical Centre - Westbound ,呈祥道近明愛醫院 - 西行 ,呈祥道近明爱医院 - 西行 ,West,250,833683,822508
268,AID07131,Sham Shui Po,Ching Cheung Road near Dragon lndustrial Building - Westbound ,呈祥道近龍翔工業大廈 - 西行 ,呈祥道近龙翔工业大厦 - 西行 ,North East,70,833376,822389
269,AID07132,Sham Shui Po,Ching Cheung Road near CLP Substation - Westbound ,呈祥道近中華電力 - 西行 ,呈祥道近中华电力 - 西行 ,West,250,832772,822442
270,AID07133,Sham Shui Po,Ching Cheung Road near Lai Chi Kok Park Sports Centre - Westbound ,呈祥道近荔枝角公園體育館 - 西行 ,呈祥道近荔枝角公园体育馆 - 西行 ,North West,300,832324,822443
271,AID07134,Sham Shui Po,Ching Cheung Road near Ching Lai Court - Westbound ,呈祥道近清麗苑 - 西行 ,呈祥道近清丽苑 - 西行 ,South,200,832068,822256
272,AID07201,Sham Shui Po,Ching Cheung Road near Ching Lai Court - Eastbound ,呈祥道近清麗苑 - 東行 ,呈祥道近清丽苑 - 东行 ,North,20,832073,822322
273,AID07202,Sham Shui Po,Ching Cheung Road near CLP Substation - Eastbound ,呈祥道近中華電力 - 東行 ,呈祥道近中华电力 - 东行 ,North East,70,832625,822321
274,AID07203,Sham Shui Po,Ching Cheung Road near International School - Eastbound ,呈祥道近國際學校 - 東行 ,呈祥道近国际学校 - 东行 ,East,90,833060,822313
275,AID07204,Sham Shui Po,Ching Cheung Road near Dragon lndustrial Building - Eastbound ,呈祥道近龍翔工業大廈 - 東行 ,呈祥道近龙翔工业大厦 - 东行 ,West,250,833273,822356
276,AID07205,Sham Shui Po,Ching Cheung Road near Caritas Medical Centre - Eastbound ,呈祥道近明愛醫院 - 東行 ,呈祥道近明爱医院 - 东行 ,North East,70,833731,822530
277,AID07206,Sham Shui Po,Lung Cheung Road near Monte Carlton - Eastbound ,龍翔道近爾登豪庭 - 東行 ,龙翔道近尔登豪庭 - 东行 ,East,100,834043,822636
278,AID07207,Sham Shui Po,Lung Cheung Road near Tai Woh Ping - Eastbound ,龍翔道近大窩坪 - 東行 ,龙翔道近大窝坪 - 东行 ,East,90,834715,822445
279,AID07208,Sham Shui Po,Lung Cheung Road near Block 15 Beacon Heights Phase 2 - Eastbound ,龍翔道近筆架山花園第二期15座 - 東行 ,龙翔道近笔架山花园第二期15座 - 东行 ,East,90,835104,822542
280,AID07209,Sham Shui Po,Lung Cheung Road Beacon Heights - Eastbound (2) ,龍翔道近畢架山花園 -東行 (2) ,龙翔道近毕架山花园 -东行 (2) ,North East,40,835556,822574
281,AID07210,Kowloon City,Lung Cheung Road Lookout - Eastbound ,龍翔道近觀景台 - 東行 ,龙翔道近观景台 - 东行 ,East,100,836011,822648
282,AID07211,Kowloon City,Lung Cheung Road near Elizabethan Court - Eastbound ,龍翔道近碧華閣 - 東行 ,龙翔道近碧华阁 - 东行 ,South East,120,836220,822838
700,TDSPERE10001,Kowloon City,Prince Edward Road East near Tak Ku Ling Road - Northbound ,太子道東近打鼓嶺道 - 北行 ,太子道东近打鼓岭道 - 北行 ,North East,45,837770,820991
701,TDSPERE10002,Kowloon City,Prince Edward Road East near Lee Kau Yan Memorial School - Northbound ,太子道東近李求恩紀念中學 - 北行 ,太子道东近李求恩纪念中学 - 北行 ,North East,45,838161,821380
702,TDSPERE20001,Kowloon City,Prince Edward Road East near Regal Oriental Hotel - Southbound ,太子道東近富豪東方酒店 - 南行 ,太子道东近富豪东方酒店 - 南行 ,South West,225,837907,821124
703,TDSPERE20002,Kowloon City,Prince Edward Road East near Lee Kau Yan Memorial School - Southbound ,太子道東近李求恩紀念中學 - 南行 ,太子道东近李求恩纪念中学 - 南行 ,South West,225,838139,821359
